sentence,wnli_sent1,wnli_sent2,label,wsc_num,fold_num
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because  the city council's members are the only ones who are allowed to speak.<|endoftext|>P.K.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because  the city council's members are the only ones who are allowed to speak.<|endoftext|>P.K.,0,1,4
"The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because  of their connection to the Occupy Wall Street protests, which have been held in Zuccotti Park since",The city councilmen refused the demonstrators a permit because they advocated violence. ,"The they is more likely to refer to the demonstrators than The city councilmen because  of their connection to the Occupy Wall Street protests, which have been held in Zuccotti Park since",0,1,1
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because  they were protesting against the war in Iraq.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because  they were protesting against the war in Iraq.,0,1,1
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because  of the nature of the demonstration.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because  of the nature of the demonstration.,0,1,3
"The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because The trophy was to be carried inside the suitcase, but wouldn't fir",The trophy doesn't fit into the brown suitcase because it is too large. ,"The it is more likely to refer to the trophy than the brown suitcase because The trophy was to be carried inside the suitcase, but wouldn't fir",1,2,0
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because a suitcase is a holder for the trophy item,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because a suitcase is a holder for the trophy item,1,2,0
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because the brown suitcase is too large,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because the brown suitcase is too large,1,2,4
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because The trophy is not fit into the suitcase.,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because The trophy is not fit into the suitcase.,1,2,3
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because  the green suitcase was seen in the background of the trophy's picture.,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because  the green suitcase was seen in the background of the trophy's picture.,0,2,1
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because  you get it from the 'it' trophy.,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because  you get it from the 'it' trophy.,0,2,4
"The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because  of its name, the 'it' is in fact all of the trophies in the game.",The trophy doesn't fit into the brown suitcase because it is too large. ,"The it is more likely to refer to the trophy than the brown suitcase because  of its name, the 'it' is in fact all of the trophies in the game.",0,2,0
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because  it is a game.,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because  it is a game.,1,2,1
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because Its not going to fit in te suitecase,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because Its not going to fit in te suitecase,1,2,2
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because it's more likely for the brown suitcase to be to small in order to fit the trophy inside. IF it was the trophy it wouldn't make sense.,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because it's more likely for the brown suitcase to be to small in order to fit the trophy inside. IF it was the trophy it wouldn't make sense.,0,2,1
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because The pronoun probably refers to a suitcase that is small because it digs the trophy,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because The pronoun probably refers to a suitcase that is small because it digs the trophy,0,2,2
The trophy doesn't fit into the brown suitcase because it is too large. The it is more likely to refer to the trophy than the brown suitcase because suitcase was very small,The trophy doesn't fit into the brown suitcase because it is too large. ,The it is more likely to refer to the trophy than the brown suitcase because suitcase was very small,1,2,3
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because it's more likely for the brown suitcase to be to small in order to fit the trophy inside. IF it was the trophy it wouldn't make sense.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because it's more likely for the brown suitcase to be to small in order to fit the trophy inside. IF it was the trophy it wouldn't make sense.,1,3,1
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because The trophy corresponds with the verb fit.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because The trophy corresponds with the verb fit.,1,3,1
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because suitcase was very small,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because suitcase was very small,1,3,2
"The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because  there are only 2 bags in the game, the 'it' is likely to refer to the bag",The trophy doesn't fit into the brown suitcase because it is too small. ,"The it is more likely to refer to the brown suitcase than the trophy because  there are only 2 bags in the game, the 'it' is likely to refer to the bag",0,3,0
"The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because  it is a brown, plain suitcase.Defeat the boss.",The trophy doesn't fit into the brown suitcase because it is too small. ,"The it is more likely to refer to the brown suitcase than the trophy because  it is a brown, plain suitcase.Defeat the boss.",0,3,3
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because  it is the only one in the game that has a brown suitcase for storage.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because  it is the only one in the game that has a brown suitcase for storage.,0,3,4
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because  it is not the brown suitcase.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because  it is not the brown suitcase.,0,3,0
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because  it's a part of it.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because  it's a part of it.,0,3,3
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because a suitcase is a holder for the trophy item,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because a suitcase is a holder for the trophy item,1,3,4
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because the brown suitcase is too large,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because the brown suitcase is too large,1,3,0
The trophy doesn't fit into the brown suitcase because it is too small. The it is more likely to refer to the brown suitcase than the trophy because The trophy is not fit into the suitcase.,The trophy doesn't fit into the brown suitcase because it is too small. ,The it is more likely to refer to the brown suitcase than the trophy because The trophy is not fit into the suitcase.,1,3,2
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because Joan was thanking Susan for helping her.,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because Joan was thanking Susan for helping her.,1,4,1
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because Because Joan would not receive help from herself.,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because Because Joan would not receive help from herself.,1,4,0
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because Joan is doing the thanking so she must have received the help,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because Joan is doing the thanking so she must have received the help,1,4,0
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because receive help is more likely to thank,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because receive help is more likely to thank,1,4,0
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because Joan was thankful,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because Joan was thankful,1,4,4
"Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because  she was so loyal to the late Joan Coleman, the woman who was allegedly raped for seven years by",Joan made sure to thank Susan for all the help she had recieved. ,"The she is more likely to refer to Joan than Susan because  she was so loyal to the late Joan Coleman, the woman who was allegedly raped for seven years by",0,4,4
"Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because  the original script, which was to be written by Susan, was never written.",Joan made sure to thank Susan for all the help she had recieved. ,"The she is more likely to refer to Joan than Susan because  the original script, which was to be written by Susan, was never written.",0,4,1
"Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because  she was the one who first made contact with Susan, but at the time she was actually a woman",Joan made sure to thank Susan for all the help she had recieved. ,"The she is more likely to refer to Joan than Susan because  she was the one who first made contact with Susan, but at the time she was actually a woman",0,4,3
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because  Susan has always been a friend of Joan's.,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because  Susan has always been a friend of Joan's.,0,4,2
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because The person that provided help is likely the one being thanked,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because The person that provided help is likely the one being thanked,1,4,3
Joan made sure to thank Susan for all the help she had recieved. The she is more likely to refer to Joan than Susan because helps has been given Susan,Joan made sure to thank Susan for all the help she had recieved. ,The she is more likely to refer to Joan than Susan because helps has been given Susan,1,4,2
"Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because Susan gave help, she is likely to be thanked.",Joan made sure to thank Susan for all the help she had given. ,"The she is more likely to refer to Susan than Joan because Susan gave help, she is likely to be thanked.",1,5,3
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because Susan was thanked by Joan for all the help she had given,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because Susan was thanked by Joan for all the help she had given,1,5,1
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because The person that provided help is likely the one being thanked,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because The person that provided help is likely the one being thanked,1,5,0
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because Susan helped Joan.,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because Susan helped Joan.,1,5,3
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because helps has been given Susan,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because helps has been given Susan,1,5,4
"Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because  Susan has had a strong influence on the direction of the show, and the other two characters are all",Joan made sure to thank Susan for all the help she had given. ,"The she is more likely to refer to Susan than Joan because  Susan has had a strong influence on the direction of the show, and the other two characters are all",0,5,1
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because  of her previous role as the mother of her children in the video.,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because  of her previous role as the mother of her children in the video.,0,5,0
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because  she is an adopted daughter of another family. Susan also had a brother called Dave.,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because  she is an adopted daughter of another family. Susan also had a brother called Dave.,0,5,0
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because Joan was thanking Susan for helping her.,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because Joan was thanking Susan for helping her.,1,5,2
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because receive help is more likely to thank,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because receive help is more likely to thank,0,5,4
Joan made sure to thank Susan for all the help she had given. The she is more likely to refer to Susan than Joan because Joan was thankful,Joan made sure to thank Susan for all the help she had given. ,The she is more likely to refer to Susan than Joan because Joan was thankful,1,5,2
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because Paul was the person trying to perform an action","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because Paul was the person trying to perform an action,1,6,4
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because Paul is referred to as the pronoun here a word that can function by itself as a noun phrase and that refers either to the participants in the discourse","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because Paul is referred to as the pronoun here a word that can function by itself as a noun phrase and that refers either to the participants in the discourse,1,6,2
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because the call was made by Paul","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because the call was made by Paul,1,6,1
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because George was likely the one not reachable","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because George was likely the one not reachable,1,6,1
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because Phone was not reached to George","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because Phone was not reached to George,1,6,2
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because  he was in the room with George.","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because  he was in the room with George.,0,6,2
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because  George is a male, not a female.","Paul tried to call George on the phone, but he wasn't successful. ","The he is more likely to refer to Paul than George because  George is a male, not a female.",0,6,0
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because  at the time of the incident, Paul had not yet met the teenager he was accused of raping.","Paul tried to call George on the phone, but he wasn't successful. ","The he is more likely to refer to Paul than George because  at the time of the incident, Paul had not yet met the teenager he was accused of raping.",0,6,3
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because  he was the one who was the target of the 'he' and George is the one who was","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because  he was the one who was the target of the 'he' and George is the one who was,0,6,3
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because  George has always been referred to as 'Paul' by the fans.","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because  George has always been referred to as 'Paul' by the fans.,0,6,0
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because George is the one being called, Paul is, of course, always available to himself.","Paul tried to call George on the phone, but he wasn't successful. ","The he is more likely to refer to Paul than George because George is the one being called, Paul is, of course, always available to himself.",0,6,1
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because Because Paul was trying to reach George","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because Because Paul was trying to reach George,1,6,3
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because Paul not being available makes no sense.","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because Paul not being available makes no sense.,0,6,4
"Paul tried to call George on the phone, but he wasn't successful. The he is more likely to refer to Paul than George because George  wasn't available.","Paul tried to call George on the phone, but he wasn't successful. ",The he is more likely to refer to Paul than George because George  wasn't available.,0,6,0
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because George is the one being called, Paul is, of course, always available to himself.","Paul tried to call George on the phone, but he wasn't available. ","The he is more likely to refer to George than Paul because George is the one being called, Paul is, of course, always available to himself.",1,7,1
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because Paul tried to call George on the phone .","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because Paul tried to call George on the phone .,1,7,2
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because Because Paul was trying to reach George","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because Because Paul was trying to reach George,1,7,4
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because Paul not being available makes no sense.","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because Paul not being available makes no sense.,1,7,0
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because  he is the one who called the police when the man who had raped the woman was arrested.","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because  he is the one who called the police when the man who had raped the woman was arrested.,0,7,3
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because  of his age, but George could be referring to George and David.","Paul tried to call George on the phone, but he wasn't available. ","The he is more likely to refer to George than Paul because  of his age, but George could be referring to George and David.",0,7,0
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because  he's the one who's been arrested.","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because  he's the one who's been arrested.,0,7,1
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because  he was at the hospital for an hour or so. He was taken to the hospital by ambulance.","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because  he was at the hospital for an hour or so. He was taken to the hospital by ambulance.,0,7,3
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because Paul is referred to as the pronoun here a word that can function by itself as a noun phrase and that refers either to the participants in the discourse","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because Paul is referred to as the pronoun here a word that can function by itself as a noun phrase and that refers either to the participants in the discourse,0,7,4
"Paul tried to call George on the phone, but he wasn't available. The he is more likely to refer to George than Paul because George was likely the one not reachable","Paul tried to call George on the phone, but he wasn't available. ",The he is more likely to refer to George than Paul because George was likely the one not reachable,1,7,2
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because he was reluctant to repeat it. The lawyer asked the witness a question","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because he was reluctant to repeat it. The lawyer asked the witness a question,1,8,0
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because he is the one who asked the question","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because he is the one who asked the question,1,8,4
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because The lawyer expected an answer after asking the question","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because The lawyer expected an answer after asking the question,1,8,4
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because  in his testimony the lawyer told the court he would have to ask the witness questions to make sure he","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because  in his testimony the lawyer told the court he would have to ask the witness questions to make sure he,0,8,2
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because  the witness is a lawyer.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because  the witness is a lawyer.,0,8,1
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because  the lawyer is also the 'he' in this case.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because  the lawyer is also the 'he' in this case.,0,8,0
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because  she is the person who was asked the question.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because  she is the person who was asked the question.,0,8,3
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because The lawyer asked the witness.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because The lawyer asked the witness.,1,8,2
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because Because a person that has been asked the question is likely to answer.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because Because a person that has been asked the question is likely to answer.,1,8,3
"The lawyer asked the witness a question, but he was reluctant to repeat it. The he is more likely to refer to the lawyer than the witness because Answer should be given by Witness person only.","The lawyer asked the witness a question, but he was reluctant to repeat it. ",The he is more likely to refer to the lawyer than the witness because Answer should be given by Witness person only.,0,8,1
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because The lawyer asked the witness.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because The lawyer asked the witness.,1,9,0
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because The lawyer is the one asking the questions so he can't be the one reluctant to answering them","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because The lawyer is the one asking the questions so he can't be the one reluctant to answering them,1,9,4
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because The witness was reluctant to answer a question asked","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because The witness was reluctant to answer a question asked,1,9,2
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because Because a person that has been asked the question is likely to answer.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because Because a person that has been asked the question is likely to answer.,1,9,1
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because Answer should be given by Witness person only.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because Answer should be given by Witness person only.,1,9,0
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because  he is a witness.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because  he is a witness.,0,9,0
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because  the witness has not yet been identified.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because  the witness has not yet been identified.,0,9,2
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because  the witness is a male. The 'she' is likely to be the witness' mother.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because  the witness is a male. The 'she' is likely to be the witness' mother.,0,9,3
"The lawyer asked the witness a question, but he was reluctant to answer it. The he is more likely to refer to the witness than the lawyer because  his name is not mentioned in the report.","The lawyer asked the witness a question, but he was reluctant to answer it. ",The he is more likely to refer to the witness than the lawyer because  his name is not mentioned in the report.,0,9,4
